0_hint,1_hint,2_hint,3_hint,4_hint,5_hint,6_hint7_hint,8_hint,9_hint,10_hint,11_hint,12_hint,13_hint,14_hint,15_hint16_hint,17_hint,18_hint,19_hint,20_hint,21_hint,22_hint,23_hint,24_hint
1194.96,921.869,913.109,1305.37,1535.59,1283.64,1895.84,2152.86,2322.36,1720.81,1883.29,1846.34,1294.09,1891.15,2127.2,1571.17,1175.09,803.037,733.738,1020.26,916.562,1098.09,736.363,735.484,736.068
781.561,997.474,991.462,983.692,1523.46,1609.17,1838.23,1154.28,1254.69,1467.78,911.159,1232.85,1112.14,886.085,874.674,870.398,861.197,848.34,840.446,836.751,826.584,904.008,729.633,904.285,903.09
776.187,990.605,1231.23,1635.53,969.251,1065.03,1387.84,1649.3,920.409,913.049,904.164,893.768,886.46,877.408,868.49,860.887,852.692,1016.1,835.738,740.057,737.641,739.014,1306.46,1520.51,867.982
782.339,1012.58,1005.33,994.924,990.476,981.576,973.296,965.037,941.204,934.225,924.872,915.31,908.983,900.433,912.513,881.81,873.876,866.085,856.944,848.361,840.255,829.304,907.628,909.026,734.921
954.423,1985.05,1207.38,1199.24,1191.86,1160.82,1132.59,1122.44,1114.48,1105.66,1098.14,1089.9,1082.09,1075.5,1066.53,1055.86,1048.09,1040.08,1032.86,1020.55,898.704,1089.61,898.834,897.382,1089.31
760.929,996.906,972.602,964.515,957.197,946.759,939.737,929.783,904.027,896.296,888.832,878.921,869.803,862.23,854.192,846.142,834.178,942.806,739.181,739.08,739.328,739.469,738.942,739.352,738.833
818.27,1103.59,1417.08,1596.36,2267.67,2540.56,2290.32,2520.75,2311.23,2470,2461.55,2139.57,2523.63,897.207,1228.01,902.728,1568.04,1237.66,905.086,1235.47,906.877,912.655,1102.9,1102.15,1101.19
802.635,1041.99,995.501,967.883,965.85,954.167,953.818,945.207,934.597,922.552,921.115,911.826,903.044,895.02,886.536,878.243,872.76,860.122,1007.22,933.37,750.528,750.415,750.859,775.676,752.104
701.034,930.955,921.309,913.521,906.162,895.744,887.909,880.37,873.512,863.199,856.178,845.478,836.034,738.235,738.257,737.656,738.285,738.265,919.858,919.765,919.014,737.354,918.122,918.79,737.679
730.714,971.192,945.414,939.416,932.002,919.809,913.794,904.121,896.4,887.319,878.695,872.109,861.599,853.941,841.707,745.204,745.529,745.12,745.1,745.486,926.542,925.497,745.189,745.257,744.814
725.732,964.934,955.381,939.435,936.724,926.536,918.376,910.197,900.977,922.137,884.146,877.806,867.757,858.048,1352.71,738.021,737.9,1047.93,919.508,1027.96,846.437,1065.38,738.862,740.266,933.945
800.107,1037.24,1027.78,1021.21,1011.3,1000.33,992.838,981.461,1491.62,1932.64,2012.34,1011.15,1377.55,1405.95,1293.27,897.185,888.272,1055.25,873.431,863.604,1033.16,1180.03,747.376,747.51,747.547
