0_hint,1_hint,2_hint,3_hint,4_hint,5_hint,6_hint,7_hint,8_hint,9_hint,10_hint,11_hint,12_hint,13_hint,14_hint,15_hint,16_hint,17_hint,18_hint,19_hint,20_hint,21_hint,22_hint,23_hint,24_hint
187.568,270.328,267.171,265.481,262.201,259.444,255.656,254.679,249.969,247.319,244.311,243.549,238.871,235.579,232.902,231.548,227.827,194.048,194.701,195.2,194.447,195.251,194.101,194.192,249.153
149.819,230.216,225.78,194.105,198.402,195.302,194.785,194.256,194.006,194.557,194.303,195.485,193.82,195.583,194.37,194.129,194.061,194.324,194.612,194.291,249.624,249.102,194.119,194.437,194.437
195.198,274.539,272.524,269.805,268.39,263.797,260.836,259.987,256.646,253.35,250.22,247.07,244.052,241.705,238.846,236.209,233.538,231.26,226.58,194.552,194.262,193.865,194.225,194.513,223.851
211.701,283.389,276.534,272.3,271.163,267.361,265.345,261.118,257.721,254.868,252.17,249.89,251.969,244.701,242.537,238.459,237.538,232.174,229.702,226.141,229.812,207.352,197.971,194.574,196.04
184.74,265.282,262.433,259.566,258.815,255.35,251.359,248.123,245.627,242.185,240.076,237.161,234.053,233.495,228.317,227.065,193.837,193.754,193.373,193.254,192.962,193.446,193.565,193.248,193
186.663,267.578,264.273,261.969,258.808,256.114,252.838,251.808,248.376,244.965,241.839,239.876,236.338,234.32,231.011,227.4,196.792,196.639,195.895,195.808,195.987,196.2,196.605,195.962,195.802
203.807,284.093,282.011,278.632,277.692,273.762,270.416,268.324,265.384,298.351,264.762,260.402,254.208,252.55,247.868,246.669,243.092,241.306,237.227,233.497,230.867,227.644,197.896,195.855,250.787
179.067,261.023,257.78,254.748,252.061,249.421,246.476,243.7,240.931,238.425,235.412,233.298,229.235,226.202,194.024,194.059,194.133,193.977,194.451,193.797,193.79,194.525,193.93,194.195,201.082
180.897,260.979,261.22,297.587,264.669,253.236,246.609,247.113,246.143,243.662,240.938,238.904,234.637,232.912,198.556,198.645,204.511,194.152,194.389,194.194,209.158,203.958,196.857,251.172,251.042
199.664,281.255,279.029,275.762,275.366,271.152,267.102,264.552,261.521,259.951,256.118,252.718,250.251,246.811,243.819,243.311,238.9,235.776,232.423,233.062,228.517,195.825,195.299,251.59,248.822
198.933,281.913,280.32,277.24,275.417,270.486,267.898,264.359,264.923,258.948,256.629,253.685,250.65,248.388,246.053,240.644,238.955,235.2,232.486,229.58,226.7,194.461,194.262,194.429,194.298
171.27,253.916,249.606,246.672,246.073,240.925,238.672,235.317,232.779,230.065,225.849,194.49,196.579,194.375,195.382,194.89,193.822,194.745,194.591,194.623,194.611,195.017,194.287,198.108,195.048
187.491,268.43,266.078,262.844,261.736,257.544,254.568,252.291,249.237,247.572,244.215,241.482,238.368,235.394,233.054,229.586,225.769,194.877,194.498,194.619,194.439,196.221,194.781,195.46,194.694
192.588,274.464,270.916,269.42,266.912,263.046,265.491,261.086,255.484,251.829,249.36,246.247,243.783,240.718,238.566,235.309,234.837,229.571,225.795,195.227,194.791,194.874,194.7,194.926,249
168.113,249.101,246.032,243.556,242.329,237.921,234.636,231.702,229.591,225.78,194.598,194.939,194.921,194.597,194.703,196.343,194.733,194.883,194.443,194.406,194.984,195.208,194.682,194.395,248.404
198.634,279.525,280.572,273.424,272.471,268.764,265.465,262.563,259.863,257.436,254.946,251.463,248.712,245.657,242.58,239.619,236.985,234.109,230.78,228.313,224.807,193.856,194.186,195.766,193.356
187.151,267.828,265.089,263.605,260.995,256.759,254.219,251.047,248.799,245.969,243.092,240.337,238.615,234.109,231.348,227.192,196.087,195.938,197.54,244.154,199.875,196.945,197.159,196.568,196.263
201.757,281.657,278.559,274.939,274.483,270.093,270.97,267.544,262.088,257.417,256.694,253.778,251.899,249.078,244.772,241.802,238.966,235.871,231.277,228.774,226.856,192.529,193.697,192.943,193.272
184.574,266.268,263.442,260.419,258.183,255.123,253.303,249.735,246.209,242.856,242.68,238.436,234.6,232.376,228.822,226.13,193.945,193.946,194.198,193.857,194.068,194.826,194.235,193.573,193.514
164.094,230.193,226.007,194.232,218.033,202.793,197.141,195.472,193.969,193.896,194.988,194.87,194.578,194.489,194.768,194.642,194.875,194.545,210.656,195.533,194.311,249.166,194.361,250.591,249.054
187.201,268.89,266.02,264.079,261.017,258.122,254.736,260.721,250.013,246.561,243.558,240.814,237.298,234.765,231.707,229.703,225.701,194.308,194.125,194.061,193.833,194.49,194.946,194.071,193.744
181.248,260.449,257.22,255.003,251.953,249.998,246.942,242.285,238.122,236.231,232.967,232.464,225.817,194.027,194.112,193.731,195.619,194.425,193.865,194.013,193.704,193.915,193.84,193.978,193.984
165.177,244.099,241.912,239.656,235.938,233.385,230.8,228.643,224.317,193.263,194.228,193.631,194.94,193.593,193.911,195.276,193.968,193.598,193.84,193.545,193.562,193.378,194.715,193.656,194.105
170.503,251.633,249.412,246.697,244.92,240.772,237.786,235.235,232.711,229.728,226.779,194.554,194.593,194.263,197.349,194.882,194.965,195.295,194.383,194.376,194.868,194.596,194.572,195.578,194.526
208.255,336.092,289.859,287.985,286.599,282.087,278.956,277.674,272.715,270.165,266.709,263.947,262.049,258.101,255.603,254.471,249.949,246.781,243.856,241.067,238.247,235.31,233.216,230.133,226.838
166.265,246.491,242.433,239.376,237.952,234.937,231.867,228.031,226.711,222.393,191.879,192.55,191.438,191.962,192.413,192.721,191.571,191.565,209.468,193.02,192.018,192.015,192.203,192.007,192.052
187.742,268.337,266.791,263.244,262.617,257.961,254.955,252.339,249.264,246.578,243.909,240.775,238.166,237.408,232.672,229.991,225.667,194.195,195.262,194.937,194.163,195.152,194.845,194.613,195.111
173.717,255.307,253.3,249.602,247.528,244.223,241.639,238.051,235.706,233.297,231.563,226.058,231.666,201.708,211.072,195.274,195.403,194.62,194.697,194.88,194.289,195.026,194.213,194.322,195.765
194.801,272.663,267.849,265.607,262.854,259.317,256.512,254.659,251.545,246.937,243.834,240.644,238.693,235.31,234.312,229.419,228.57,195.303,195.65,194.01,194.068,194.889,194.352,194.207,194.369
160.528,239.767,236.655,234.569,231.59,229.394,225.122,193.663,196.823,195.756,194.883,193.746,193.961,193.889,194.434,194.02,194.021,194.666,194.302,194.187,194.011,194.204,248.684,193.883,194.279
187.365,267.678,265.693,383.055,261.368,256.995,255.42,251.957,249.233,245.707,269.138,247.357,238.745,234.005,231.256,228.768,224.184,194.152,192.607,193.646,193.824,193.949,192.827,192.701,193.094
201.2,279.772,278.46,279.705,274.864,269.874,267.821,265.115,263.838,259.517,257.709,253.471,251.111,248.927,245.181,242.683,240.068,236.898,235.137,231.447,227.475,279.48,193.926,193.263,192.695
162.644,242.385,240.225,238.383,235.075,231.659,228.817,226.631,194.257,194.162,195.571,215.567,318.606,220.405,193.972,194.427,194.154,193.843,193.887,194.07,194.1,197.854,197.099,194.219,194.453
186.505,269.994,266.448,264.557,263.572,259.257,255.367,251.835,249.234,246.953,244.063,240.664,238.165,234.819,232.837,229.607,225.69,194.521,195.272,195.095,194.934,194.257,194.795,195.402,249.112
174.808,256.021,254.043,250.704,250.013,246.107,242.688,239.41,237.384,234.037,231.726,227.561,197.392,196.464,195.853,212.629,208.084,196.588,196.024,195.885,197.642,195.911,195.982,196.251,196.398
188.191,268.723,266.325,263.362,262.879,261.185,256.84,252.112,249.489,246.521,244.014,241.2,239.358,238.769,232.863,229.104,226.341,196.043,196.026,205.416,195.659,194.455,194.648,195.391,215.799
172.171,248.775,244.799,241.669,238.823,236.559,233.362,230.28,227.887,226.005,197.311,195.724,193.463,192.564,192.805,193.146,193.396,193.208,193.051,192.667,193.198,192.634,192.851,193.129,193.477
190.688,272.93,272.991,265.207,270.884,259.524,257.49,254.356,252.53,247.956,245.808,242.22,240.37,236.077,234.947,230.19,227.642,224.184,192.973,194.198,194.542,192.53,192.35,193.609,192.859
175.856,256.911,254.525,251.952,249.726,245.999,268.145,245.806,242.826,238.395,232.448,229.084,226.592,196.215,194.392,193.87,194.151,194.034,194.368,194.204,194.037,194.628,194.24,194.906,194.128
188.456,270.638,269.126,265.753,266.19,260.397,257.43,254.748,252.227,249.145,245.754,243.47,240.084,239.071,236.333,231.611,229.041,226.705,193.974,194.054,193.778,193.871,194.105,194.019,193.921
196.536,281.209,274.684,270.67,268.55,265.955,262.765,261.443,257.925,257.261,252.194,248.956,246.437,244.064,242.952,237.957,235.905,232.297,229.353,228.678,199.777,194.513,194.297,193.916,207.609
176.465,250.451,241.14,237.077,234.491,231.403,229.409,225.551,195.874,193.79,194.241,194.437,194.179,193.704,193.672,193.994,194.838,194.068,194.196,194.691,212.404,199.29,194.172,193.682,194.525
185.212,266.248,263.701,261.438,260.83,255.341,252.719,249.525,247.315,244.609,241.237,238.797,235.152,232.692,229.614,227.81,194.352,194.642,194.28,194.152,194.765,195.653,194.524,196.525,194.318
183.905,265.561,262.377,259.992,257.709,253.828,250.284,248.157,246.584,242.694,239.005,238.433,233.522,233.577,230.98,196.039,196.299,195.986,196.184,196.615,197.394,196.25,196.082,196.33,196.303
168.507,248.262,244.976,242.087,239.213,240.058,235.146,231.943,228.171,226.41,222.522,191.822,192.207,192.216,191.738,192.034,192.703,193.074,191.439,192.066,192.739,191.871,191.85,191.43,191.956
206.927,294.547,283.094,280.195,279.673,274.915,271.287,269.126,265.923,304.678,267.784,264.421,260.854,259.868,254.466,251.317,248.542,245.35,242.898,239.497,236.785,292.005,286.401,197.861,254.47
199.377,285.343,282.778,279.739,278.274,273.82,270.885,267.939,266.758,261.854,259.094,257.224,253.052,250.23,249.355,244.167,243.138,238.019,235.439,232.733,229.044,196.787,196.723,196.753,197.48
211.018,290.054,286.157,284.06,286.234,272.783,270.823,267.463,264.789,262.096,258.813,254.445,252.355,250.094,246.464,243.392,240.881,238.479,236.259,232.429,229.403,225.731,194.681,195.025,194.309
205.465,288.051,285.211,280.915,279.525,275.873,271.91,269.694,267.001,264.937,261.307,259.554,256.411,254.409,275.9,247.385,243.59,240.844,238.531,235.112,232.702,230.679,227.537,224.63,192.059
181.427,262.658,259.744,257.712,254.759,254.073,250.071,246.507,243.994,242.965,237.9,234.183,233.768,230.737,225.582,194.114,194.06,194.051,194.807,194.254,194.19,194.233,193.818,193.564,248.71
180.196,260.889,258.052,254.947,254.101,250.134,246.83,248.679,241.558,238.716,238.333,232.808,230.667,227.094,194.757,194.488,194.207,194.899,194.578,193.962,194.033,194.382,194.22,194.26,195.137
204.778,286.244,284.148,281.035,280.514,275.629,272.961,269.886,267.249,264.121,262.05,258.58,255.365,253.167,249.763,247.517,243.987,242.699,238.742,236.216,231.66,231.07,225.88,249.988,199.024
204.396,270.744,282.191,265.62,262.159,263.629,251.856,249.954,245.041,242.31,239.277,237.123,233.972,232.849,230.513,224.88,192.485,193.195,192.923,192.067,192.893,192.886,192.787,192.549,192.8
198.608,280.272,277.777,276.233,274.573,268.297,265.937,262.883,257.695,253.956,252.206,250.164,246.089,245.197,240.669,237.924,237.259,232.997,229.411,227.713,194.81,194.171,194.967,194.742,194.747
149.476,230.456,225.988,194.709,194.46,194.837,194.63,194.643,194.134,194.475,195.233,195.15,194.468,194.436,194.588,194.793,194.652,194.587,194.6,194.776,194.463,194.222,194.761,195.206,249.433
186.44,266.688,264.123,261.808,260.548,255.977,253.728,250.192,247.94,245.342,242.155,239.389,236.269,240.45,236.494,232.655,224.193,192.415,192.794,192.843,193.466,192.297,193.227,192.534,193.029
162.221,242.62,239.167,236.814,233.799,231.58,229.29,225.052,193.987,193.661,194.364,195.985,193.926,194.287,193.832,194.108,194.456,194.101,194.102,193.859,194.176,194.201,194.313,193.889,193.952
161.661,242.451,238.954,239.49,232.724,233.808,226.431,223.909,196.297,196.546,196.457,196.476,198.992,192.808,194.041,196.47,196.468,196.375,193.697,192.925,193.817,194.679,192.618,192.951,196.563
152.728,234.04,230.643,198.801,199.095,199.576,195.598,196.306,195.305,198.682,198.914,199.011,198.716,194.927,195.318,198.897,199.14,198.991,197.287,196.334,195.04,196.115,198.834,198.927,198.591
184.373,268.499,265.087,266.39,263.505,255.35,254.334,255.599,252.169,252.175,269.44,242.555,239.239,236.485,234.184,225.709,195.036,195.524,196.032,194.669,198.156,195.275,194.758,198.238,198.432
172.454,255.537,252.145,248.637,250.574,247.764,244.828,242.029,239.088,236.274,233.285,226.89,194.433,194.107,194.244,194.475,197.802,197.712,197.685,197.857,197.697,197.904,197.741,252.88,197.405
197.618,297.482,279.093,276.762,321.028,277.284,270.122,264.002,271.901,262.267,257.261,253.831,253.475,252.319,251.249,246.277,253.585,237.774,234.289,231.298,229.757,208.28,210.716,200.581,199.988
160.333,238.796,236.797,232.672,230.178,228.701,225.886,221.33,191.089,190.801,190.366,190.791,190.681,192.7,190.805,190.627,190.269,190.525,191.022,190.568,190.538,190.622,190.861,190.664,191.618
189.433,271.002,266.917,264.311,262.242,258.144,255.277,253.151,249.657,246.853,243.546,240.897,238.482,235.471,233.051,230.541,226.719,194.461,196.798,194.264,194.431,194.231,195.438,194.186,194.363
186.005,267.625,265.184,262.322,258.862,256.206,253.835,250.94,249.557,245.388,243.429,239.958,236.683,235.078,232.62,227.125,195.607,196.523,198.244,196.04,196.566,196.493,195.726,195.985,196.755
196.512,279.072,277.058,274.12,272.832,267.99,265.179,262.719,259.754,256.995,254.359,250.829,248.219,245.263,242.587,239.713,237.49,233.777,231.609,228.133,197.277,195.683,195.725,196.288,196.31
195.904,270.766,267.318,264.634,263.028,258.606,255.329,252.855,250.018,246.97,252.865,243.093,239.156,237.797,234.291,231.674,226.552,194.752,195.448,194.521,194.496,194.427,194.593,194.315,194.506
172.924,256.087,252.438,250.564,248.704,244.702,240.175,237.76,234.867,231.579,229.939,225.841,194.737,194.566,195.178,194.931,194.925,194.447,194.495,194.34,195.003,196.093,194.771,194.276,196.048
191.796,272.038,268.962,267.446,265.589,260.077,263.038,254.795,252.572,249.462,246.807,244.257,241.458,238.711,235.472,232.488,229.96,225.804,194.616,194.671,194.228,194.906,194.763,194.87,194.273
188.915,269.861,266.588,264.069,260.663,258.465,255.445,252.742,250.085,246.262,243.105,240.224,237.709,234.762,233.069,229.849,225.964,194.477,194.521,194.631,195.608,194.453,195.501,195.215,195.234
